#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,10.0,2.7000,0.25,-0.50
2,11.2,2.7000,0.25,-0.52
3,12.6,2.7000,0.25,-0.57
4,14.1,2.7000,0.24,-0.56
5,15.8,2.7000,0.25,-0.58
6,17.8,2.7000,0.21,-0.58
7,20.0,2.7000,0.21,-0.60
8,22.4,2.7000,0.20,-0.64
9,25.1,2.7000,0.20,-0.64
10,28.2,2.7000,0.19,-0.61
11,31.6,2.7000,0.19,-0.63
12,35.5,2.7000,0.19,-0.64
13,39.8,2.7000,0.18,-0.67
14,44.7,2.7000,0.17,-0.69
15,50.1,2.7000,0.19,-0.70
16,56.2,2.7000,0.19,-0.75
17,63.1,2.7000,0.21,-0.80
18,70.8,2.7000,0.21,-0.97
19,79.4,2.7000,0.22,-1.09
20,89.1,2.7000,0.23,-1.26
21,100.0,2.7000,0.22,-1.43
22,112.2,2.7000,0.22,-1.60
23,125.9,2.7000,0.23,-1.89
24,141.3,2.7000,0.22,-2.12
25,158.5,2.7000,0.23,-2.35
26,177.8,2.7000,0.23,-2.64
27,199.5,2.7000,0.22,-3.03
28,223.9,2.7000,0.22,-3.42
29,251.2,2.7000,0.22,-3.83
30,281.8,2.7000,0.23,-4.30
31,316.2,2.7000,0.22,-4.81
32,354.8,2.7000,0.23,-5.44
33,398.1,2.7000,0.22,-6.08
34,446.7,2.7000,0.23,-6.81
35,501.2,2.7000,0.22,-7.66
36,562.3,2.7000,0.21,-8.60
37,631.0,2.7000,0.23,-9.66
38,707.9,2.7000,0.21,-10.83
39,794.3,2.7000,0.21,-12.15
40,891.3,2.7000,0.21,-13.64
41,1000.0,2.7000,0.20,-15.29
42,1122.0,2.7000,0.22,-17.11
43,1258.9,2.7000,0.22,-19.18
44,1412.5,2.7000,0.20,-21.53
45,1584.9,2.7000,0.19,-24.16
46,1778.3,2.7000,0.20,-27.09
47,1995.3,2.7000,0.19,-30.35
48,2238.7,2.7000,0.19,-34.06
49,2511.9,2.7000,0.19,-38.14
50,2818.4,2.7000,0.19,-42.79
51,3162.3,2.7000,0.19,-48.07
52,3548.1,2.7000,0.20,-53.87
53,3981.1,2.7000,0.19,-60.40
54,4466.8,2.7000,0.20,-67.78
55,5011.9,2.7000,0.22,-76.04
56,5623.4,2.7000,0.23,-85.28
57,6309.6,2.7000,0.24,-95.66
58,7079.5,2.7000,0.27,-107.46
59,7943.3,2.7000,0.31,-120.72
60,8912.5,2.7000,0.36,-135.80
61,10000.0,2.7000,0.39,-153.08
62,11220.2,2.7000,0.43,186.99
63,12589.3,2.7000,0.49,164.25
64,14125.4,2.7000,0.54,138.25
65,15848.9,2.7000,0.65,108.31
66,17782.8,2.7000,0.82,73.84
67,19952.6,2.7000,1.04,33.58
68,22387.2,2.7000,1.39,-14.03
69,25118.9,2.7000,1.44,-74.15
70,28183.8,2.7000,0.23,-156.96
71,31622.8,2.7000,-1.74,80.04
72,35481.3,2.7000,-10.62,-38.67
73,39810.7,2.7000,-25.79,-102.54
74,44668.4,2.7000,-41.20,-148.61
75,50118.7,2.7000,-55.36,179.21
76,56234.1,2.7000,-68.44,140.84
77,63095.7,2.7000,-90.91,130.65
78,70794.6,2.7000,-81.55,-77.92
79,79432.8,2.7000,-71.05,45.07
80,89125.1,2.7000,-82.97,-88.39
81,100000.0,2.7000,-84.29,-93.47
82,112201.8,2.7000,-75.96,174.45
83,125892.5,2.7000,-85.90,-98.99
84,141253.8,2.7000,-87.35,-137.55
85,158489.3,2.7000,-83.51,-69.78
86,177827.9,2.7000,-100.92,-69.67
87,199526.2,2.7000,-79.03,-97.99
88,223872.1,2.7000,-79.84,-141.32
89,251188.6,2.7000,-84.24,93.56
90,281838.3,2.7000,-74.35,-64.78
91,316227.8,2.7000,-74.35,-115.41
92,354813.4,2.7000,-64.95,-124.94
93,398107.2,2.7000,-63.35,-4.17
94,446683.6,2.7000,-53.92,-161.45
95,501187.2,2.7000,-53.20,-14.56
96,562341.3,2.7000,-55.98,-167.68
97,630957.3,2.7000,-57.49,-149.64
98,707945.8,2.7000,-54.52,145.92
99,794328.2,2.7000,-50.15,-114.58
100,891250.9,2.7000,-44.11,86.90
101,1000000.0,2.7000,-44.34,38.13
